age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,age_group,race
34,Male,Graduate,No,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,30-39 years old,White
53,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too much,Too little,Too much,NA,NA,About right,Trump,1,NA,50-59 years old,White
NA,Female,High School,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,About right,NA,NA,About right,Trump,1,NA,NA,White
62,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,60-69 years old,White
62,Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Did not vote,1,NA,60-69 years old,White
42,Male,High School,Yes,"$90,000 ~ $129,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,2,Disagree,40-49 years old,White
29,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too much,Other,NA,NA,20-29 years old,White
53,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,Disagree,50-59 years old,White
51,Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,About right,Did not vote,NA,NA,50-59 years old,White
24,Female,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,20-29 years old,Other
51,Male,Graduate,Yes,"$170,000 or over",Too little,About right,About right,About right,NA,NA,About right,Other,1,NA,50-59 years old,White
26,Female,High School,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,20-29 years old,Hispanic
37,Male,Bachelors,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Disagree,30-39 years old,Black
30,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,Too little,Clinton,NA,NA,30-39 years old,White
45,Male,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,40-49 years old,White
23,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,NA,20-29 years old,White
64,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,NA,60-69 years old,White
82,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Trump,1,Neither,80-89 years old,Other
58,Male,Less than high school,No,"$20,000 ~ $39,999",About right,About right,Too much,About right,NA,NA,About right,Clinton,1,NA,50-59 years old,White
89,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,80-89 years old,White
78,Male,Bachelors,Yes,"$90,000 ~ $129,999",About right,About right,Too little,Too much,NA,NA,About right,Trump,NA,Agree,70-79 years old,White
NA,NA,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,NA,Trump,NA,NA,NA,White
NA,Male,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,Disagree,NA,Asian
NA,Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,2,NA,NA,White
42,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Strongly disagree,40-49 years old,White
64,Male,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,60-69 years old,White
51,Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Trump,NA,NA,50-59 years old,White
NA,Female,Bachelors,Yes,"$20,000 ~ $39,999",About right,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,NA,White
55,Female,High School,No,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,50-59 years old,Hispanic
62,Male,High School,Yes,"$130,000 ~ $169,999",Too little,Too much,About right,Too much,NA,NA,Too much,Trump,1,NA,60-69 years old,White
62,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,60-69 years old,White
33,Male,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,30-39 years old,White
72,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Neither,70-79 years old,White
64,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Neither,60-69 years old,Black
42,Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,40-49 years old,White
73,Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,About right,About right,About right,NA,NA,About right,Clinton,2,NA,70-79 years old,White
49,Male,Bachelors,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,40-49 years old,White
63,Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,60-69 years old,Black
32,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,30-39 years old,Black
65,Male,Bachelors,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Disagree,60-69 years old,White
71,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,2,NA,70-79 years old,White
43,Male,High School,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Disagree,40-49 years old,White
55,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Disagree,50-59 years old,White
33,Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,Neither,30-39 years old,White
55,Female,Associate College,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Other,1,Disagree,50-59 years old,Black
66,Male,Associate College,Yes,"$20,000 ~ $39,999",About right,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Strongly agree,60-69 years old,White
74,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Neither,70-79 years old,White
NA,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,NA,White
51,Male,Bachelors,Yes,"$170,000 or over",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,1,Strongly agree,50-59 years old,White
66,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,60-69 years old,White
70,Male,High School,Yes,"$130,000 ~ $169,999",Too little,About right,About right,Too much,NA,NA,Too little,Trump,2,NA,70-79 years old,White
NA,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,About right,NA,NA,Too little,Did not vote,1,Agree,NA,Other
57,Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,50-59 years old,White
41,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too much,About right,Too much,Too much,NA,NA,About right,Other,NA,Agree,40-49 years old,White
56,Male,High School,Yes,NA,Too little,Too little,Too little,Too much,NA,NA,Too little,Trump,1,NA,50-59 years old,White
46,Female,Associate College,Yes,"$130,000 ~ $169,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,2,Strongly agree,40-49 years old,White
41,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too little,Clinton,1,NA,40-49 years old,White
61,Male,Graduate,No,"$170,000 or over",Too much,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Disagree,60-69 years old,Asian
79,Male,Graduate,No,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Strongly disagree,70-79 years old,White
38,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,About right,Did not vote,1,NA,30-39 years old,White
64,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Neither,60-69 years old,Black
28,Male,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,NA,NA,20-29 years old,White
33,Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Disagree,30-39 years old,Black
38,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,Too much,About right,Other,2,Disagree,30-39 years old,White
32,Female,Graduate,No,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,30-39 years old,White
NA,NA,High School,Yes,"Under $10,000",NA,NA,NA,NA,About right,Too much,Too little,Trump,2,Neither,NA,White
71,Female,Bachelors,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,1,NA,70-79 years old,White
89,Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,2,Disagree,80-89 years old,White
73,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Disagree,70-79 years old,Black
38,Female,Bachelors,Yes,"$170,000 or over",About right,About right,Too much,About right,NA,NA,Too little,Other,NA,Disagree,30-39 years old,White
59,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,2,NA,50-59 years old,White
56,Female,High School,Yes,"$60,000 ~ $89,999",About right,About right,Too little,Too much,NA,NA,Too little,Clinton,NA,Neither,50-59 years old,White
25,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,20-29 years old,White
24,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Other,NA,Strongly disagree,20-29 years old,White
40,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,Disagree,40-49 years old,White
61,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,60-69 years old,White
67,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,3,Disagree,60-69 years old,White
25,Female,Bachelors,No,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Disagree,20-29 years old,Asian
84,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,2,Disagree,80-89 years old,White
36,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,NA,30-39 years old,White
67,Male,Associate College,Yes,"$90,000 ~ $129,999",Too little,About right,Too little,About right,NA,NA,Too little,Trump,NA,Strongly agree,60-69 years old,White
53,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,50-59 years old,White
74,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,3,Disagree,70-79 years old,White
66,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,60-69 years old,White
46,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,NA,40-49 years old,White
NA,Female,High School,Yes,NA,Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,NA,Disagree,NA,Black
49,Male,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,NA,40-49 years old,Black
74,Male,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,NA,70-79 years old,Black
54,Female,Bachelors,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Neither,50-59 years old,Black
53,Male,Graduate,Yes,"$20,000 ~ $39,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,2,Strongly disagree,50-59 years old,White
NA,Female,Bachelors,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,3,NA,NA,White
62,Male,High School,Yes,"$60,000 ~ $89,999",About right,Too much,About right,Too much,NA,NA,About right,Trump,1,Strongly agree,60-69 years old,White
65,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Neither,60-69 years old,White
41,Female,Graduate,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,About right,Too much,Too little,Other,NA,NA,40-49 years old,White
64,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,60-69 years old,White
79,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,70-79 years old,White
75,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,2,Disagree,70-79 years old,White
74,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,70-79 years old,Black
65,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,About right,Too little,Other,NA,NA,60-69 years old,White
41,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,1,Neither,40-49 years old,Black
NA,NA,Graduate,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,Disagree,NA,White
57,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,50-59 years old,White
36,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,NA,About right,Clinton,1,NA,30-39 years old,Hispanic
44,Female,High School,Yes,"$130,000 ~ $169,999",About right,Too much,About right,About right,NA,NA,Too little,Trump,1,Neither,40-49 years old,White
67,Female,Less than high school,Yes,"$10,000 ~ $19,999",Too much,Too much,Too little,Too little,NA,NA,Too little,Trump,2,NA,60-69 years old,Other
45,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,Strongly agree,40-49 years old,White
40,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too little,Clinton,NA,NA,40-49 years old,White
57,Male,High School,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,50-59 years old,White
69,Male,High School,Yes,"$60,000 ~ $89,999",Too little,NA,About right,About right,NA,NA,Too little,Clinton,NA,Agree,60-69 years old,White
67,Male,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,2,NA,60-69 years old,Asian
41,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,40-49 years old,Other
45,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,40-49 years old,Asian
NA,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,NA,White
52,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,50-59 years old,Black
58,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Neither,50-59 years old,Black
NA,Female,Bachelors,Yes,NA,Too little,Too little,Too much,About right,NA,NA,About right,Other,NA,Strongly disagree,NA,Black
79,Female,Less than high school,Yes,"$60,000 ~ $89,999",Too little,Too little,Too little,About right,NA,NA,Too little,Clinton,2,NA,70-79 years old,Black
85,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,Too much,NA,NA,Too little,Clinton,1,NA,80-89 years old,White
53,Female,High School,Yes,"$20,000 ~ $39,999",Too much,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,50-59 years old,White
39,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,1,NA,30-39 years old,Black
50,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,50-59 years old,White
37,Female,Bachelors,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,Too much,About right,Clinton,2,Strongly disagree,30-39 years old,Asian
37,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Neither,30-39 years old,White
34,Female,High School,No,"Under $10,000",About right,About right,About right,Too much,NA,NA,About right,Clinton,NA,Neither,30-39 years old,Hispanic
63,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,1,NA,60-69 years old,White
70,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Strongly disagree,70-79 years old,White
59,Male,High School,Yes,"$170,000 or over",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,50-59 years old,White
44,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,40-49 years old,White
78,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Disagree,70-79 years old,Black
46,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,40-49 years old,Black
37,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Other,2,Agree,30-39 years old,White
67,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,60-69 years old,White
NA,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,About right,About right,Clinton,1,Agree,NA,White
47,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,Too much,About right,Trump,2,Neither,40-49 years old,White
29,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,NA,20-29 years old,White
60,Female,Associate College,No,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,About right,Clinton,2,Disagree,60-69 years old,Asian
35,Male,Graduate,No,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Strongly disagree,30-39 years old,Asian
43,Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Disagree,40-49 years old,White
64,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Other,1,Neither,60-69 years old,White
34,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,30-39 years old,White
32,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Other,1,Disagree,30-39 years old,White
29,Female,High School,No,NA,NA,NA,NA,NA,Too little,About right,Too little,Trump,1,NA,20-29 years old,Other
42,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,40-49 years old,White
74,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,NA,70-79 years old,White
38,Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,About right,Clinton,2,Neither,30-39 years old,White
60,Female,Associate College,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,60-69 years old,White
NA,Male,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,NA,White
52,Female,High School,Yes,"Under $10,000",Too little,Too little,Too much,NA,NA,NA,Too little,Clinton,NA,Strongly disagree,50-59 years old,White
67,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,60-69 years old,White
57,Male,Bachelors,No,NA,NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,NA,50-59 years old,White
NA,Male,Graduate,No,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Disagree,NA,Asian
38,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,30-39 years old,White
67,Female,NA,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,60-69 years old,Other
58,Male,Graduate,Yes,NA,NA,NA,NA,NA,Too much,About right,About right,Other,NA,NA,50-59 years old,Other
33,Male,Graduate,No,"$90,000 ~ $129,999",Too little,Too much,About right,Too much,NA,NA,Too much,Other,NA,Disagree,30-39 years old,White
72,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,Neither,70-79 years old,Black
30,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Strongly disagree,30-39 years old,White
46,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,Neither,40-49 years old,Hispanic
34,Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,30-39 years old,White
52,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Agree,50-59 years old,White
39,Male,High School,Yes,"$20,000 ~ $39,999",Too little,About right,Too much,Too much,NA,NA,About right,Clinton,2,Agree,30-39 years old,White
78,Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,About right,About right,About right,NA,NA,Too little,Clinton,2,NA,70-79 years old,White
27,Female,Associate College,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,20-29 years old,White
61,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,60-69 years old,White
37,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,30-39 years old,White
25,Male,Bachelors,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,Strongly disagree,20-29 years old,White
32,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,About right,About right,Clinton,1,NA,30-39 years old,White
33,Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,About right,NA,NA,About right,Other,NA,Disagree,30-39 years old,White
69,Male,Graduate,Yes,"$130,000 ~ $169,999",About right,About right,About right,About right,NA,NA,About right,Trump,2,NA,60-69 years old,White
57,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Neither,50-59 years old,White
60,Male,Associate College,Yes,"$130,000 ~ $169,999",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,2,Neither,60-69 years old,White
NA,Male,Bachelors,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,NA,Other
61,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too much,NA,NA,About right,Trump,1,Neither,60-69 years old,White
61,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,Agree,60-69 years old,White
65,Female,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,60-69 years old,White
37,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,30-39 years old,White
34,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,30-39 years old,White
65,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Neither,60-69 years old,White
NA,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Disagree,NA,White
